Marca de Tiempo,Memoria Total (GB),Memoria Disponible (GB),Memoria Usada (GB),Uso de Memoria (%)
2024-05-26 18:07:01,15.71,6.30,9.41,59.9
2024-05-26 18:07:06,15.71,6.29,9.42,60.0
2024-05-26 18:07:11,15.71,6.22,9.49,60.4
2024-05-26 18:07:16,15.71,6.28,9.43,60.0
2024-05-26 18:07:21,15.71,6.10,9.61,61.2
2024-05-26 18:07:26,15.71,5.89,9.82,62.5
2024-05-26 18:07:31,15.71,6.05,9.66,61.5
2024-05-26 18:07:36,15.71,6.11,9.60,61.1
2024-05-26 18:07:41,15.71,6.19,9.52,60.6
2024-05-26 18:07:46,15.71,6.20,9.51,60.5
2024-05-26 18:07:51,15.71,6.24,9.47,60.3
2024-05-26 18:07:56,15.71,6.20,9.51,60.5
